,startTime
0,2021-02-12T01:56:00.000
1,2021-02-11T00:58:00.000
2,2021-02-10T01:28:00.000
3,2021-02-09T02:01:00.000
4,2021-02-08T01:31:30.000
5,2021-02-07T01:39:30.000
6,2021-02-06T18:11:00.000
7,2021-02-06T00:47:30.000
8,2021-02-04T01:44:00.000
9,2021-02-03T01:52:00.000
10,2021-02-02T01:13:00.000
11,2021-02-01T01:04:30.000
12,2021-01-31T01:12:00.000
13,2021-01-29T01:13:30.000
14,2021-01-28T01:19:30.000
15,2021-01-27T02:11:30.000
16,2021-01-26T01:45:30.000
17,2021-01-25T02:26:30.000
18,2021-01-24T01:37:00.000
19,2021-01-23T01:44:30.000
20,2021-01-21T01:49:00.000
21,2021-01-20T00:58:00.000
22,2021-01-19T00:39:00.000
23,2021-01-18T00:05:30.000
24,2021-01-16T23:59:30.000
25,2021-01-15T23:44:30.000
26,2021-01-15T01:53:30.000
27,2021-01-14T01:41:30.000
0,2021-03-15T01:08:00.000
1,2021-03-13T00:20:00.000
2,2021-03-12T00:46:30.000
3,2021-03-11T00:12:00.000
4,2021-03-10T00:40:00.000
5,2021-03-09T00:39:30.000
6,2021-03-08T01:47:00.000
7,2021-03-07T01:15:30.000
8,2021-03-06T00:57:30.000
9,2021-03-05T21:01:00.000
10,2021-03-05T01:30:30.000
11,2021-03-04T00:26:00.000
12,2021-03-03T01:54:30.000
13,2021-03-02T01:23:00.000
14,2021-03-01T01:01:00.000
15,2021-02-28T01:39:30.000
16,2021-02-27T00:57:00.000
17,2021-02-26T01:16:00.000
18,2021-02-25T01:10:00.000
19,2021-02-24T01:40:00.000
20,2021-02-23T02:07:00.000
21,2021-02-22T02:13:30.000
22,2021-02-21T01:58:00.000
23,2021-02-20T00:49:00.000
24,2021-02-19T00:48:00.000
25,2021-02-18T02:06:00.000
26,2021-02-17T01:16:00.000
27,2021-02-16T01:33:30.000
28,2021-02-15T01:46:00.000
29,2021-02-14T04:06:00.000
0,2021-04-14T01:02:30.000
1,2021-04-13T01:08:00.000
2,2021-04-12T01:09:30.000
3,2021-04-11T01:00:30.000
4,2021-04-10T13:50:00.000
5,2021-04-10T00:42:30.000
6,2021-04-09T01:14:30.000
7,2021-04-08T01:31:30.000
8,2021-04-07T01:07:30.000
9,2021-04-06T01:09:00.000
10,2021-04-04T00:13:00.000
11,2021-04-02T23:22:00.000
12,2021-04-02T01:16:00.000
13,2021-04-01T01:37:00.000
14,2021-03-31T00:53:00.000
15,2021-03-30T01:27:00.000
16,2021-03-29T01:07:00.000
17,2021-03-28T00:13:00.000
18,2021-03-27T11:26:00.000
19,2021-03-26T23:45:00.000
20,2021-03-26T16:14:30.000
21,2021-03-26T00:52:00.000
22,2021-03-25T02:01:30.000
23,2021-03-24T01:32:00.000
24,2021-03-23T00:58:00.000
25,2021-03-22T00:44:30.000
26,2021-03-21T01:23:00.000
27,2021-03-20T00:42:00.000
28,2021-03-19T01:08:30.000
29,2021-03-18T00:50:30.000
30,2021-03-17T01:38:00.000
31,2021-03-16T01:20:30.000
32,2021-03-15T01:08:00.000
0,2021-05-14T00:21:30.000
1,2021-05-13T00:22:00.000
2,2021-05-12T00:33:00.000
3,2021-05-11T00:53:00.000
4,2021-05-10T00:32:00.000
5,2021-05-09T00:33:00.000
6,2021-05-08T00:32:00.000
7,2021-05-07T00:08:00.000
8,2021-05-06T00:26:00.000
9,2021-05-05T00:19:30.000
10,2021-05-04T00:31:00.000
11,2021-05-03T01:39:30.000
12,2021-05-02T01:30:00.000
13,2021-05-01T14:58:30.000
14,2021-05-01T00:11:30.000
15,2021-04-30T01:28:00.000
16,2021-04-28T00:52:30.000
17,2021-04-27T00:38:00.000
18,2021-04-26T00:24:00.000
19,2021-04-25T00:19:00.000
20,2021-04-24T00:29:00.000
21,2021-04-23T00:29:00.000
22,2021-04-22T00:34:00.000
23,2021-04-21T00:51:30.000
24,2021-04-20T00:30:00.000
25,2021-04-19T00:39:00.000
26,2021-04-18T01:16:30.000
27,2021-04-17T00:42:30.000
28,2021-04-16T01:34:30.000
29,2021-04-15T02:05:00.000
30,2021-04-14T01:02:30.000
0,2021-06-13T01:09:00.000
1,2021-06-12T01:52:00.000
2,2021-06-11T01:10:00.000
3,2021-06-10T00:54:00.000
4,2021-06-08T00:24:30.000
5,2021-06-07T00:39:00.000
6,2021-06-06T01:05:00.000
7,2021-06-05T00:24:30.000
8,2021-06-04T03:19:30.000
9,2021-06-02T23:54:30.000
10,2021-06-02T00:49:30.000
11,2021-06-01T00:57:00.000
12,2021-05-31T01:40:00.000
13,2021-05-30T01:25:30.000
14,2021-05-29T01:22:00.000
15,2021-05-27T00:29:30.000
16,2021-05-26T00:57:30.000
17,2021-05-25T16:44:30.000
18,2021-05-25T00:21:00.000
19,2021-05-24T00:39:00.000
20,2021-05-23T00:25:30.000
21,2021-05-22T13:21:00.000
