,Wake,Light,Deep,REM
0,38,322,72,143
1,39,297,48,110
2,38,219,78,81
3,0,0,0,0
4,48,242,22,87
5,60,344,63,111
6,69,285,49,70
7,29,275,75,93
8,42,327,67,131
9,59,274,47,74
10,65,397,23,104
11,27,213,44,73
12,38,246,51,74
13,31,209,51,99
14,47,242,92,110
15,78,319,59,112
16,0,0,0,0
17,51,311,60,111
18,52,258,30,91
19,47,272,44,84
20,39,265,59,90
21,62,277,50,83
22,66,274,95,105
23,65,372,82,133
24,72,412,48,119
25,0,0,0,0
26,48,220,69,82
27,52,261,60,110
28,0,0,0,0
29,33,233,60,78
30,36,156,75,107
31,40,268,44,108
32,61,354,49,102
33,0,0,0,0
34,29,261,33,120
35,49,347,77,94
36,52,315,86,136
37,62,339,120,179
38,47,226,36,47
39,44,376,78,84
40,48,221,36,61
41,35,209,45,91
42,0,0,0,0
43,45,244,69,63
44,50,223,43,128
45,70,340,71,118
46,27,188,55,95
47,45,217,71,113
48,29,215,62,116
49,49,236,38,86
50,35,170,82,113
51,50,292,83,103
52,39,254,59,121
53,40,250,81,134
54,34,251,59,106
55,40,215,55,125
56,45,263,11,86
57,52,208,40,83
58,43,218,94,131
59,43,310,11,56
60,70,299,93,174
61,41,235,15,99
62,51,260,45,115
63,49,221,22,103
64,48,240,57,111
65,53,230,100,127
66,38,322,72,143
67,34,216,56,85
68,52,223,59,57
69,46,219,72,112
70,53,227,57,110
71,38,308,29,144
72,35,262,80,107
73,36,236,53,88
74,35,218,47,109
75,37,267,49,71
76,32,200,49,112
77,65,247,69,100
78,88,375,70,103
79,44,250,75,108
80,31,245,60,87
81,36,200,48,84
82,43,247,34,63
83,40,212,62,86
84,37,236,62,100
85,58,314,94,153
86,38,197,73,45
87,35,245,29,77
88,48,194,79,123
89,58,245,49,58
90,45,235,89,91
91,44,283,82,94
92,54,327,84,115
93,70,263,52,103
94,30,241,49,98
95,46,270,38,95
96,42,260,19,94
97,49,347,77,94
98,41,178,94,65
99,71,378,76,136
100,57,330,30,92
101,72,405,79,156
102,62,258,47,68
103,42,206,52,114
104,89,372,79,124
105,0,0,0,0
106,69,239,63,68
107,30,115,26,32
